Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Study Design,"Reasoning for ""Study Design""",Data Reporting,"Reasoning for ""Data Reporting""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Setting,"Reasoning for ""Study Setting""",Test Methodology,"Reasoning for ""Test Methodology""",Test Type and Reference Standard,"Reasoning for ""Test Type and Reference Standard""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Performance of Rapid Antigen Tests for COVID-19 Diagnosis: A Systematic Review and Meta-Analysis,"Muhammad Fazli Khalid, Kasturi Selvam, Alfeq Jazree Nashru Jeffry, Mohamad Fazrul Salmi, M. A. Najib, M. N. Norhayati, I. Aziah",10.3390/diagnostics12010110,https://doi.org/10.3390/diagnostics12010110,Diagnostics,81,2022,maybe,The abstract does not explicitly state the age range of participants or whether data for adults is reported separately. This is a significant uncertainty.,yes,"This is a systematic review and meta-analysis of diagnostic accuracy studies, which is explicitly stated in the abstract. While it's not a primary study, meta-analyses are included in the criteria.",yes,"The study reports rapid antigen test results separately from other test types, as the abstract clearly focuses on rapid antigen test results and reports them separately. The study specifically analyzes RAT performance with pooled sensitivity and specificity values.",yes,"The study reports clear quantifiable diagnostic accuracy data, including pooled sensitivity (70%) and specificity (98%) with confidence intervals.",maybe,"While the abstract mentions ""different settings"" and discusses various sample types (nasal, nasopharyngeal, throat swabs, and saliva), it doesn't explicitly specify whether these are clinical or community settings. However, the context suggests clinical settings.",yes,The study specifically focuses on rapid antigen tests (RATs) and compares them to RT-qPCR. It does not mix results with antibody tests or other diagnostics.,yes,"The study clearly uses RT-qPCR as the reference standard, which is explicitly mentioned as the ""gold standard."" The focus is specifically on point-of-care rapid antigen tests.",Include,"A systematic review of rapid antigen tests for SARS-CoV-2 demonstrates strong alignment with most screening criteria, including clear diagnostic accuracy reporting, appropriate test methodology, and use of RT-qPCR as a reference standard. The primary uncertainty lies in the explicit reporting of participant age ranges, which would require full-text review to confirm. Despite this minor limitation, the study provides comprehensive diagnostic performance data across different sample types and patient populations.",4.3
Accuracy of rapid point-of-care antigen-based diagnostics for SARS-CoV-2: An updated systematic review and meta-analysis with meta-regression analyzing influencing factors,"Lukas E Brümmer, S. Katzenschlager, S. McGrath, Stephan Schmitz, M. Gaeddert, C. Erdmann, M. Bota, M. Grilli, J. Larmann, M. Weigand, N. Pollock, A. Macé, B. Erkosar, S. Carmona, J. Sacks, S. Ongarello, C. Denkinger",10.1371/journal.pmed.1004011,https://doi.org/10.1371/journal.pmed.1004011,PLoS Medicine,45,2022,maybe,"The abstract does not explicitly state the age range of participants, creating some uncertainty about whether the study only includes non-pregnant adult participants or if adult data is reported separately.",yes,"The study is a systematic review and meta-analysis that includes primary diagnostic accuracy studies, meeting this criterion.",yes,"The study reports rapid antigen test results (Ag-RDTs) separately from other test types, meeting this criterion.",yes,"The study reports clear quantifiable diagnostic accuracy data, including sensitivity (72.0%) and specificity (98.9%), meeting this criterion.",maybe,"While not explicitly stated, the context suggests clinical and community settings, as it discusses public health decision-making and various testing scenarios. However, there is some uncertainty about the specific settings included.",yes,"The study specifically focuses on antigen rapid diagnostic tests (Ag-RDTs) for SARS-CoV-2, meeting this criterion.",yes,"The study explicitly uses RT-PCR as the reference standard for evaluating Ag-RDTs, meeting this criterion.",Include,"A comprehensive meta-analysis of rapid antigen diagnostic tests for SARS-CoV-2 demonstrates strong alignment with most screening criteria, including clear test methodology, reference standard, and outcome measures. While the study robustly reports diagnostic accuracy data and uses RT-PCR as a reference, some uncertainty exists regarding participant age range and specific study settings. The research provides detailed insights into antigen test performance across different viral load conditions and testing scenarios.",4.3
Diagnostic accuracy of antigen-detection rapid diagnostic tests for diagnosis of COVID-19 in low-and middle-income countries: A systematic review and meta-analysis,"S. Pandey, Arisa Poudel, Dikshya Karki, Jeevan Thapa",10.1371/journal.pgph.0000358,https://doi.org/10.1371/journal.pgph.0000358,PLOS Global Public Health,6,2022,no,"The study includes people of all ages, not just non-pregnant adults 18 years or older, and does not report adult data separately.",yes,"This is a systematic review and meta-analysis that includes primary diagnostic accuracy studies, and it reports original data from 12 diagnostic accuracy studies.",yes,"The study reports rapid antigen test results separately, as it specifically focuses on Ag-RDTs and their diagnostic accuracy.",yes,"The study clearly reports quantifiable diagnostic accuracy data, including pooled sensitivity (78.2%) and specificity (99.5%).",maybe,"While not explicitly stated, the context of LMICs and the discussion of screening tools suggests the study was conducted in clinical/community settings.",yes,The study specifically evaluates rapid antigen tests (Ag-RDTs) for SARS-CoV-2 nucleocapsid protein detection.,yes,The study explicitly uses RT-PCR as the reference standard for evaluating Ag-RDTs.,Include,"A systematic review and meta-analysis of rapid antigen tests for SARS-CoV-2 demonstrates strong methodological alignment with most screening criteria, including appropriate test methodology, reference standard, and outcome measures. However, the study's inclusion of participants across all ages without separate adult data reporting represents a significant deviation from the specified population age requirement. Despite this limitation, the research provides valuable insights into diagnostic accuracy of antigen tests in low and middle-income countries.",3.1
Accuracy of rapid point-of-care antigen-based diagnostics for SARS-CoV-2: an updated systematic review and meta-analysis with meta regression analyzing influencing factors,"L. Bruemmer, S. Katzenschlager, S. McGrath, S. Schmitz, M. Gaeddert, C. Erdmann, M. Bota, M. Grilli, J. Larmann, M. Weigand, N. Pollock, A. Macé, B. Erkosar, S. Carmona, J. Sacks, S. Ongarello, C. Denkinger",10.1101/2022.02.11.22270831,https://doi.org/10.1101/2022.02.11.22270831,medRxiv,17,2022,maybe,"The abstract does not explicitly state the age range of participants, so there is some uncertainty about whether the study only includes non-pregnant adult participants or if the data of adult participants are reported separately.",yes,"The study is a systematic review and meta-analysis that includes primary diagnostic accuracy studies, meeting this criterion.",yes,"The study reports rapid antigen test results (Ag-RDTs) separately from other test types, meeting this criterion.",yes,"The study reports clear quantifiable diagnostic accuracy data, including sensitivity (72.0%) and specificity (98.9%), meeting this criterion.",maybe,"While the abstract doesn't explicitly state the setting, it includes analysis of both symptomatic and asymptomatic testing, suggesting clinical and community settings were included, likely meeting this criterion.",yes,"The study specifically focuses on antigen rapid diagnostic tests (Ag-RDTs) for SARS-CoV-2, meeting this criterion.",yes,"The study explicitly uses RT-PCR as the reference standard for evaluating Ag-RDTs, meeting this criterion.",Include,"A comprehensive systematic review and meta-analysis of rapid antigen diagnostic tests for SARS-CoV-2, reporting detailed diagnostic accuracy data with RT-PCR as the reference standard. The study provides robust evidence on test performance across different viral load levels, symptom statuses, and sample types, with high sensitivity and specificity reported. While most screening criteria are strongly met, some uncertainty exists regarding the specific age range of participants.",4.6
Cochrane corner: rapid point-of-care antigen and molecular-based tests for the diagnosis of COVID-19 infection,"D. Ndwandwe, Lindi Mathebula, R. Kamadjeu, C. Wiysonge",10.11604/pamj.supp.2020.37.1.25982,https://doi.org/10.11604/pamj.supp.2020.37.1.25982,The Pan African Medical Journal,9,2020,maybe,"The abstract doesn't specify age restrictions or whether adult data is reported separately, so this is a significant uncertainty.",yes,"This is a Cochrane review/meta-analysis that appears to include primary diagnostic accuracy studies, meeting this criterion.",maybe,"The abstract discusses both antigen and molecular tests, but it's unclear whether the results are reported separately. However, since this is a Cochrane review, it likely separates the data types, but this cannot be confirmed from the abstract alone.",yes,"The abstract mentions that the review reports sensitivity and specificity data, meeting this criterion.",yes,"The abstract mentions ""various parts of the world"" and discusses community transmission, suggesting clinical and community settings, meeting this criterion.",yes,"The study explicitly evaluates point-of-care antigen tests, meeting this criterion.",maybe,"While the study evaluates point-of-care antigen tests, it doesn't explicitly mention RT-PCR as the reference standard, which is a significant uncertainty.",Include,"A Cochrane review examining point-of-care antigen tests for SARS-CoV-2 demonstrates clear reporting of diagnostic accuracy measures across multiple global settings. While the study meets several key screening criteria, significant uncertainties exist regarding population age restrictions, reference standard methodology, and separate reporting of test results. The review provides valuable insights into diagnostic test performance but requires full text verification to confirm complete alignment with all screening requirements.",3.9
"Evaluation of the accuracy, ease of use and limit of detection of novel, rapid, antigen-detecting point-of-care diagnostics for SARS-CoV-2","L. J. Krüger, M. Gaeddert, Lisa Köppel, L. Bruemmer, Claudius Gottschalk, Isabel Barreto Barreto Miranda, Paul Schnitzler, H. Kräusslich, A. Lindner, O. Nikolai, F. P. Mockenhaupt, J. Seybold, V. Corman, V. Corman, Christian Drosten, Christian Drosten, N. Pollock, A. Cubas-Atienzar, K. Kontogianni, Andrea M. Collins, A. Wright, B. Knorr, A. Welker, M. D. Vos, J. Sacks, Emily R. Adams, C. Denkinger",10.1101/2020.10.01.20203836,https://doi.org/10.1101/2020.10.01.20203836,medRxiv,92,2020,maybe,"The abstract doesn't explicitly state the age range of participants, so it's unclear if the study only included non-pregnant adult participants or if the data of adult participants were reported separately.",yes,"The study is explicitly described as a ""prospective, multi-centre diagnostic accuracy study"" with original data collection and analysis.",yes,"The study clearly reports rapid antigen test results separately, with detailed performance metrics for each of the three Ag-RDTs tested.",yes,"The study reports clear diagnostic accuracy data, including sensitivity (76.6%) and specificity (99.3%) for the best-performing test, with confidence intervals.",yes,The study was conducted in clinical settings across Germany and UK.,yes,"The study specifically evaluates rapid antigen tests (Ag-RDTs) for SARS-CoV-2, with three different tests being compared.",yes,The study uses RT-PCR as the reference standard and evaluates point-of-care rapid antigen tests.,Include,"A comprehensive diagnostic accuracy study of rapid antigen tests for SARS-CoV-2, conducted across multiple clinical sites in Germany and UK, systematically evaluated three point-of-care tests using RT-PCR as a reference standard. The research reported detailed diagnostic performance metrics, including sensitivity and specificity, with one test demonstrating promising results while others showed variable performance. While most screening criteria were definitively met, the participant age range remained slightly uncertain.",4.6
Diagnostic Accuracy of SARS-CoV-2 Antigen Tests for Community Transmission Screening: A Systematic Review and Meta-Analysis,"Cheng-Chieh Chen, Shou-Cheng Lu, C. Bai, Pei-Yu Wang, Kang-Yun Lee, Yuan-Hung Wang",10.3390/ijerph182111451,https://doi.org/10.3390/ijerph182111451,International Journal of Environmental Research and Public Health,22,2021,maybe,"The abstract does not specify the age range of participants. While it mentions ""community participants,"" there's no explicit mention of whether pediatric cases were excluded or reported separately.",yes,"This is a meta-analysis that appears to include primary diagnostic accuracy studies, as it reports original data from 18 studies with 34,865 participants. The studies included appear to be diagnostic accuracy studies.",maybe,"The abstract indicates this is a meta-analysis specifically focused on antigen tests, suggesting the data is reported separately for antigen tests. However, it's not explicitly stated whether other test types were included in the original studies.",yes,"The study clearly reports quantifiable diagnostic accuracy data, including pooled sensitivity (0.82) and specificity (1.00).",yes,"The abstract mentions ""community participants"" and discusses community testing, indicating appropriate study settings.",yes,"The study specifically focuses on antigen tests for SARS-CoV-2, meeting this criterion.",maybe,"While the study evaluates antigen tests, the abstract doesn't explicitly mention RT-PCR as the reference standard. This is a significant uncertainty.",Include,"A meta-analysis of SARS-CoV-2 antigen tests demonstrates strong diagnostic accuracy with high sensitivity and specificity across community participants. While the study meets several key screening criteria, significant uncertainties exist regarding participant age range and reference standard methodology. The research provides valuable insights into rapid antigen testing for COVID-19, but requires further investigation to fully address all screening requirements.",4
Evaluation of a novel antigen-based rapid detection test for the diagnosis of SARS-CoV-2 in respiratory samples,"L. Porte, Paulette Legarraga, V. Vollrath, X. Aguilera, J. Munita, R. Araos, Gabriel Pizarro, P. Vial, M. Iruretagoyena, S. Dittrich, T. Weitzel",10.1016/j.ijid.2020.05.098,https://doi.org/10.1016/j.ijid.2020.05.098,International Journal of Infectious Diseases,317,2020,maybe,"While not explicitly stated that all participants are adults, the median age is 38 years, and there's no mention of pediatric or pregnant populations. The context suggests an adult population.",yes,This is a primary diagnostic accuracy study evaluating a novel rapid antigen detection test against RT-PCR.,yes,"The study clearly reports rapid antigen test results separately, with specific sensitivity and specificity values for the RDT.",yes,"The study reports clear diagnostic accuracy data, including sensitivity (93.9%), specificity (100%), and diagnostic accuracy (96.1%).",yes,"While not explicitly stated, the context of testing suspected COVID-19 cases with nasopharyngeal and oropharyngeal swabs indicates a clinical setting.",yes,The study specifically evaluates a rapid antigen detection test (RDT) for SARS-CoV-2.,yes,The study evaluates a point-of-care rapid antigen test (fluorescence immunochromatographic test) using RT-PCR as the reference standard.,Include,"A comprehensive diagnostic accuracy study of a rapid antigen test for SARS-CoV-2, utilizing RT-PCR as a reference standard and reporting detailed sensitivity and specificity metrics. The research focuses on an adult population with suspected COVID-19, evaluating a point-of-care diagnostic method in a clinical setting with high diagnostic performance. Methodologically robust, the study provides quantifiable data on test accuracy, particularly during the first week of symptom onset.",4.9
Factors that Influence the Reported Sensitivity of Rapid Antigen Testing for SARS-CoV-2,"V. Parvu, D. Gary, J. Mann, Yu‐Chi Lin, Dorsey Mills, L. Cooper, J. Andrews, Y. Manabe, A. Pekosz, Charles K. Cooper",10.3389/fmicb.2021.714242,https://doi.org/10.3389/fmicb.2021.714242,Frontiers in Microbiology,65,2021,maybe,"The abstract does not explicitly specify age restrictions or separate reporting for adults, as it mentions both symptomatic and asymptomatic individuals but does not clarify age ranges.",yes,"The study is a systematic review and meta-analysis that includes 83 primary studies, and while it is not a primary diagnostic accuracy study, it does report original meta-analyzed data.",yes,"The study reports rapid antigen test results separately from other test types, as it is a systematic review specifically focused on RALFT (rapid antigen-based lateral flow testing) compared to RT-qPCR.",yes,"The abstract reports quantifiable diagnostic accuracy data, specifically sensitivity (75.0% with 95% CI: 71.0-78.0).",maybe,"While not explicitly stated, the context suggests clinical and community settings, as it discusses both symptomatic and asymptomatic individuals and testing for COVID-19 diagnosis.",yes,"The study specifically focuses on rapid antigen tests (RALFT) for SARS-CoV-2 detection, not antibody tests or other diagnostics.",yes,The study explicitly evaluates point-of-care rapid antigen tests using RT-qPCR as the reference standard.,Include,"A systematic review of rapid antigen tests for SARS-CoV-2 demonstrates comprehensive diagnostic accuracy assessment using RT-qPCR as a reference standard, with clear reporting of sensitivity across symptomatic and asymptomatic populations. The study meets most screening criteria, with only minor uncertainty regarding participant age ranges, and provides robust meta-analyzed data on point-of-care testing performance.",4.6
Performance of point-of care molecular and antigen-based tests for SARS-CoV-2: a living systematic review and meta-analysis,"P. Fragkou, C. Moschopoulos, D. Dimopoulou, D. Ong, K. Dimopoulou, Philipp P Nelson, V. Schweitzer, Hannah Janocha, Emmanouil Karofylakis, K. Papathanasiou, Sotirios Tsiordras, Giulia de Angelis, C. Thölken, M. Sanguinetti, Ho-Ryun Chung, C. Skevaki",10.1016/j.cmi.2022.10.028,https://doi.org/10.1016/j.cmi.2022.10.028,Clinical Microbiology and Infection,13,2022,no,"The study includes patients of all ages, not just non-pregnant adults or separately reported adult data.",yes,"The study is a meta-analysis of primary diagnostic accuracy studies, as explicitly stated in the methods section.",yes,"The study reports rapid antigen test results separately from other test types, as evidenced by the distinct sensitivity and specificity values reported for antigen tests.",yes,"The study reports quantifiable diagnostic accuracy data, including sensitivity and specificity with 95% CIs for both antigen and molecular tests.",maybe,"The study includes various clinical and community settings, though not explicitly detailed.",yes,"The study evaluates rapid antigen tests, along with molecular tests, and reports their results separately.",yes,The study evaluates point-of-care rapid antigen tests and uses RT-PCR as the reference standard.,Include,"A comprehensive meta-analysis of SARS-CoV-2 diagnostic tests that meets most screening criteria, with robust reporting of antigen and molecular test performance across multiple studies. The primary limitation is the inclusion of participants of all ages without separate adult data reporting, which prevents full compliance with the screening requirements. Despite this limitation, the study provides detailed diagnostic accuracy data using RT-PCR as a reference standard.",2.7
"Rapid, point‐of‐care antigen tests for diagnosis of SARS‐CoV‐2 infection","J. Dinnes, J. Deeks, Sarah Berhane, Melissa Taylor, Ada Adriano, Clare F. Davenport, Sabine Dittrich, Devy M. Emperador, Y. Takwoingi, Jane Cunningham, S. Beese, Julie Domen, J. Dretzke, Lavinia Ferrante di Ruffano, I. Harris, Malcolm J Price, S. Taylor-Phillips, L. Hooft, M. Leeflang, Matthew D F McInnes, R. Spijker, A. Van den Bruel",10.1002/14651858.CD013705.pub2,https://doi.org/10.1002/14651858.CD013705.pub2,Cochrane Database of Systematic Reviews,12,2021,maybe,"The abstract does not explicitly state the age range of participants. While it mentions ""symptomatic and asymptomatic population groups,"" it doesn't specify whether children were included or if adult data was reported separately.",yes,"This is a systematic review and meta-analysis that includes primary diagnostic accuracy studies. The abstract explicitly states they included ""test accuracy studies of any design"" and presents pooled data.",yes,"The study clearly reports rapid antigen test results separately from other test types. The abstract presents detailed results for antigen tests (48 studies, 58 evaluations) and molecular tests separately.",yes,"The study reports detailed diagnostic accuracy data, including sensitivity and specificity with 95% confidence intervals for both symptomatic and asymptomatic populations.",yes,"The study includes clinical and community settings, as evidenced by the evaluation of tests in both symptomatic and asymptomatic populations.",yes,"The study specifically evaluates rapid antigen tests, with detailed analysis of 16 different antigen assays.",yes,"The study evaluates point-of-care rapid antigen tests and explicitly states that ""nearly all studies (97%) defined the presence or absence of SARS-CoV-2 based on a single RT-PCR result.""",Include,"A comprehensive systematic review and meta-analysis of rapid antigen tests for SARS-CoV-2, evaluating diagnostic accuracy across symptomatic and asymptomatic populations using RT-PCR as the reference standard. The study provides detailed sensitivity and specificity data for multiple antigen test brands, with robust methodology covering clinical and community settings. While most screening criteria are clearly met, the specific age range of participants remains somewhat unclear from the abstract.",4.6
Evaluation of the diagnostic accuracy of COVID-19 antigen tests: A systematic review and meta-analysis,"Yuan-Hung Wang, Chia‐Chang Wu, C. Bai, Shou-Cheng Lu, Yi-ping Yang, Yi-Ying Lin, Wei-Yi Lai, Tzu-Wei Lin, Ying-Chun Jheng, Ming‐Cheng Lee, Cheng-Chieh Chen",10.1097/JCMA.0000000000000626,https://doi.org/10.1097/JCMA.0000000000000626,Journal of the Chinese Medical Association,11,2021,maybe,"The abstract does not explicitly state the age range of participants or whether data for adults was reported separately, creating some uncertainty about this criterion.",yes,"The study is a meta-analysis that includes primary diagnostic accuracy studies and reports original data, as mentioned in the abstract's description of the 14 included studies with 8624 participants.",yes,"The study reports rapid antigen test results separately from other test types, as indicated by the abstract's focus on antigen test performance.",yes,"The study clearly reports quantifiable diagnostic accuracy data, including sensitivity (79%) and specificity (100%) with confidence intervals, as mentioned in the abstract.",maybe,"The abstract mentions testing for ""patients"" and ""contagious individuals,"" but does not explicitly specify whether the studies were conducted in clinical or community settings, creating some uncertainty.",yes,"The study specifically focuses on antigen tests for SARS-CoV-2, not antibody tests or other diagnostics, as clearly stated in the abstract.",maybe,"While the study evaluates antigen tests, the abstract does not explicitly state that RT-PCR was used as the reference standard, though this is commonly the case in such studies, creating some uncertainty.",Include,"A meta-analysis of antigen tests for SARS-CoV-2 demonstrates clear reporting of diagnostic accuracy with quantifiable sensitivity and specificity measures. While the study meets several key screening criteria, uncertainties exist regarding participant age range, reference standard, and specific study setting. The research provides valuable insights into rapid antigen testing performance, particularly within seven days of symptom onset.",4.3
