Title,Author,Journal,Abstract,Year,DOI,Publication Type
Histamine in neurotransmission and brain diseases,"S, Nuutinen",,,2010,10.1007/978-1-4419-8056-4_10,
The α(2)-adrenergic receptor pathway modulating depression influences the risk of arterial thrombosis associated with BDNFVal66Met polymorphism,"L, Sandrini",,,2022,10.1016/j.biopha.2021.112557,
Tryptophan fluorescence reveals conformational changes in the acetylcholine binding protein,"SB, Hansen",,,2002,10.1074/jbc.c200462200,
Activation of rat ventral tegmental area dopamine neurons by endogenous kynurenic acid: a pharmacological analysis,"KR, Linderholm",,,2007,10.1016/j.neuropharm.2007.09.003,
Beer elicits vasculoprotective effects through Akt/eNOS activation,"G, Vilahur",,,2014,10.1111/eci.12352,
Studies on the mechanisms of 6-hydroxydopamine cytotoxicity,"G, Jonsson",,,1976,,
Benzodiazepine withdrawal-induced glutamatergic plasticity involves up-regulation of GluR1-containing alpha-amino-3-hydroxy-5-methylisoxazole-4-propionic acid receptors in Hippocampal CA1 neurons,"J, Song",,,2007,10.1124/jpet.107.121798,
Anxiety Disorders: Sex Differences in Serotonin and Tryptophan Metabolism,"T, Songtachalert",,,2018,10.2174/1568026618666181115093136,
Dual modulation of dopamine release from anterior nucleus accumbens through cholecystokinin-B receptor subsites,"I, Léna",,,1997,10.1046/j.1471-4159.1997.68010162.x,
"Mammalian central nervous system trace amines. Pharmacologic amphetamines, physiologic neuromodulators","MD, Berry",,,2004,10.1111/j.1471-4159.2004.02501.x,
"Hypothalamic neurochemistry and feeding behavioral responses to clonidine, an alpha-2-agonist, and to trifluoromethylphenylpiperazine, a putative 5-hydroxytryptamine-1B agonist, in genetically obese Zucker rats","M, Koulu",,,1990,10.1159/000125635,
"Structural and functional interaction of (±)-2-(N-tert-butylamino)-3'-iodo-4'-azidopropiophenone, a photoreactive bupropion derivative, with nicotinic acetylcholine receptors","HR, Arias",,,2012,10.1016/j.neuint.2012.10.011,
Hypericum perforatum L. extract does not inhibit 5-HT transporter in rat brain cortex,"M, Gobbi",,,1999,10.1007/s002109900073,
Release of some endogenous trace amines from rat striatal slices in the presence and absence of a monoamine oxidase inhibitor,"LE, Dyck",,,1989,10.1016/0024-3205(89)90309-3,
The inhibition of acquired fear,"I, Izquierdo",,,2004,10.1007/bf03033220,
Altered neurotrophin receptor function in the developing prefrontal cortex leads to adult-onset dopaminergic hyperresponsivity and impaired prepulse inhibition of acoustic startle,"N, Rajakumar",,,2004,10.1016/j.biopsych.2003.12.015,
[The possible functional interaction of serotonin and neuropeptides in embryogenic regulatory processes (experiments on embryos of the mollusk Tritona diomedea)],"AO, Willows",,,2000,,
Regulatory role of nitric oxide over hippocampal 5-HT release in vivo,"J, Segieth",,,2001,10.1007/s002100000370,
Withdrawal from chronic ethanol increases the sensitivity of presynaptic 5-HT(1A) receptors modulating serotonin and dopamine synthesis in rat brain in vivo,"S, Esteban",,,2002,10.1016/s0304-3940(02)00313-0,
The role of medial hypothalamic serotonin in the suppression of feeding in a rat model of colitis,"A, Ballinger",,,2000,10.1016/s0016-5085(00)70260-5,
Stimulation of melatonin synthesis in ovine pineals in vitro,"PJ, Morgan",,,1988,10.1111/j.1471-4159.1988.tb13232.x,
"5-Hydroxytryptophan: A precursor of serotonin influences regional blood-brain barrier breakdown, cerebral blood flow, brain edema formation, and neuropathology","A, Sharma",,,2019,10.1016/bs.irn.2019.06.005,
Evidence that histamine is involved as a mediator of endothelium-dependent contraction induced by A23187 in bovine intrapulmonary vein,"CA, Gruetter",,,1994,10.1016/0014-2999(94)90139-2,
Galanin/GMAP- and NPY-like immunoreactivities in locus coeruleus and noradrenergic nerve terminals in the hippocampal formation and cortex with notes on the galanin-R1 and -R2 receptors,"ZQ, Xu",,,1998,10.1002/(sici)1096-9861(19980309)392:2<227::aid-cne6>3.0.co;2-4,
A legacy of discovery: from monoamines to GABA,"SJ, Enna",,,2011,10.1016/j.neuropharm.2010.10.005,
"Cholinergic muscarinic M(1) and M(4) receptors as therapeutic targets for cognitive, behavioural, and psychological symptoms in psychiatric and neurological disorders","D, Erskine",,,2019,10.1016/j.drudis.2019.08.009,
Direct effect of estradiol on the number of dopamine receptors in the anterior pituitary of ovariectomized rats,"C, Pasqualini",,,1986,10.1210/endo-119-6-2484,
"Dopaminergic mechanisms underlying catalepsy, fear and anxiety: do they interact?","AC, Colombo",,,2013,10.1016/j.bbr.2013.10.002,
Serotonergic mechanisms involved in antidepressant-like responses evoked by GLT-1 blockade in rat infralimbic cortex,"J, Gasull-Camós",,,2018,10.1016/j.neuropharm.2018.06.029,
Role of dopamine in behavioral sensitization to ethanol in DBA/2J mice,"J, Broadbent",,,2005,10.1016/j.alcohol.2005.03.006,
Altered serotonergic function of dorsal raphe nucleus in perinatally protein-deprived rats: effects of fluoxetine administration,"AO, Sodero",,,2006,10.1016/j.ejphar.2005.11.040,
Cue-induced dopamine release predicts cocaine preference: positron emission tomography studies in freely moving rodents,"WK, Schiffer",,,2009,10.1523/jneurosci.5221-08.2009,
Long-term consumption of sugar-rich diet decreases the effectiveness of somatodendritic serotonin-1A receptors,"QU, Inam",,,2008,10.1179/147683008x344183,
The serotonergic system in motor and non-motor manifestations of Parkinson's disease,"P, Huot",,,2013,10.1007/s00221-013-3621-2,
Correlations between serotonin level and single-cell firing in the rat's nucleus raphe magnus,"ID, Hentall",,,2000,10.1016/s0306-4522(99)00516-3,
Cyclin-dependent kinase 5 regulates dopaminergic and glutamatergic transmission in the striatum,"K, Chergui",,,2004,10.1073/pnas.0308652100,
Specific derivatization of the vesicle monoamine transporter with novel carrier-free radioiodinated reserpine and tetrabenazine photoaffinity labels,"MK, Sievert",,,2007,10.1016/j.ab.2007.04.046,
Serotonergic systems associated with arousal and vigilance behaviors following administration of anxiogenic drugs,"JK, Abrams",,,2005,10.1016/j.neuroscience.2005.03.025,
Differential effects of the 5-HT 1B/2C receptor agonist mCPP and the 5-HT1A agonist flesinoxan on hypothalamic neuropeptide Y in the rat: evidence that NPY may mediate serotonin's effects on food intake,"S, Dryden",,,1996,10.1016/0196-9781(96)00142-8,
Possible contribution of dopaminergic receptors in the anteroventral third ventricular region to hyperosmolality-induced vasopressin secretion in conscious rats,"K, Yamaguchi",,,1996,10.1530/eje.0.1340243,
Activation of 5-HT₁A receptors in the medial subdivision of the central nucleus of the amygdala produces anxiolytic effects in a rat model of Parkinson's disease,"YN, Sun",,,2015,10.1016/j.neuropharm.2015.03.007,
"Regional brain distribution of noradrenaline uptake sites, and of alpha1-alpha2- and beta-adrenergic receptors in PCD mutant mice: a quantitative autoradiographic study","C, Strazielle",,,1999,10.1016/s0306-4522(99)00321-8,
Chronic lead treatment induces in rat a specific and differential effect on dopamine receptors in different brain areas,"L, Lucchi",,,1981,10.1016/0006-8993(81)90244-4,
The effect of insulin on norepinephrine uptake by PC12 cells,"DP, Figlewicz",,,1993,10.1016/0361-9230(93)90210-3,
Treatment of pregnant alcohol-consuming rats with buspirone: effects on serotonin and 5-hydroxyindoleacetic acid content in offspring,"NF, Tajuddin",,,1993,10.1111/j.1530-0277.1993.tb00734.x,
Variable dopamine release probability and short-term plasticity between functional domains of the primate striatum,"SJ, Cragg",,,2003,10.1523/jneurosci.23-10-04378.2003,
Regulation of dopamine signaling in the striatum by phosphodiesterase inhibitors: novel therapeutics to treat neurological and psychiatric disorders,"AD, Ramirez",,,2014,10.2174/1871524914666141226103421,
Dopamine enhances somatostatin receptor-mediated inhibition of adenylate cyclase in rat striatum and hippocampus,"MN, Rodríguez-Sánchez",,,1997,10.1002/(sici)1097-4547(19970501)48:3<238::aid-jnr6>3.0.co;2-g,
"[18F]fluoroethoxy-benzovesamicol, a PET radiotracer for the vesicular acetylcholine transporter and cholinergic synapses","GK, Mulholland",,,1998,10.1002/(sici)1098-2396(199811)30:3<263::aid-syn4>3.0.co;2-9,
The 5-HT1A receptor antagonist (S)-UH-301 augments the increase in extracellular concentrations of 5-HT in the frontal cortex produced by both acute and chronic treatment with citalopram,"L, Arborelius",,,1996,10.1007/bf00167182,
"Functional Interaction Between NMDA and mGlu5 Receptors: Effects on Working Memory, Instrumental Learning, Motor Behaviors, and Dopamine Release","H, Homayoun",,,2004,10.1038/sj.npp.1300417,
Dopaminergic and glutamatergic regulation of effort- and delay-based decision making,"SB, Floresco",,,2008,10.1038/sj.npp.1301565,
Dopamine receptor binding enhancement accompanies lesion-induced behavioral supersensitivity,"I, Creese",,,1977,10.1126/science.877576,
Bupropion increases striatal vesicular monoamine transport,"KS, Rau",,,2005,10.1016/j.neuropharm.2005.05.004,
PPARα modulation of mesolimbic dopamine transmission rescues depression-related behaviors,"S, Scheggi",,,2016,10.1016/j.neuropharm.2016.07.024,
Deafferentation elicits increased dopamine-sensitive adenylate cyclase and receptor binding in the olfactory tubercle,"RB, Lingham",,,1986,10.1523/jneurosci.06-08-02208.1986,
Methamphetamine-induced alterations in dopamine transporter function,"BA, Bennett",,,1998,10.1016/s0006-8993(97)01281-x,
Antihyperalgesic and antiallodynic effects of mianserin on diabetic neuropathic pain: a study on mechanism of action,"Uİ, Üçel",,,2015,10.1016/j.ejphar.2015.02.048,
Melanin-concentrating hormone in the Locus Coeruleus aggravates helpless behavior in stressed rats,"J, Urbanavicius",,,2019,10.1016/j.bbr.2019.112120,
Repeated injections of sulpiride into the medial prefrontal cortex induces sensitization to cocaine in rats,"JD, Steketee",,,2005,10.1007/s00213-004-2102-5,
Alcohol dependence and gene x environment interaction in emotion regulation: Is serotonin the link?,"KP, Lesch",,,2005,10.1016/j.ejphar.2005.09.027,
Effects of acute and long-term administration of escitalopram and citalopram on serotonin neurotransmission: an in vivo electrophysiological study in rat brain,"Mansari M, El",,,2005,10.1038/sj.npp.1300686,
Effects of the AMPA receptor antagonist NBQX on outcome of newborn pigs after asphyxic cardiac arrest,"AM, Brambrink",,,1999,10.1097/00004647-199908000-00012,
Regulation of inhibitory synapses by presynaptic D₄ dopamine receptors in thalamus,"G, Govindaiah",,,2010,10.1152/jn.00361.2010,
Sporadic autonomic dysregulation and death associated with excessive serotonin autoinhibition,"E, Audero",,,2008,10.1126/science.1157871,
Heterogeneous population of dopaminergic neurons derived from mouse embryonic stem cells: preliminary phenotyping based on receptor expression and function,"WS, Raye",,,2007,10.1111/j.1460-9568.2007.05489.x,
Electrical stimulation of the nucleus raphe magnus in the rat. Effects on 5-HT metabolism in the spinal cord,"S, Bourgoin",,,1980,10.1016/0006-8993(80)91219-6,
"Regional changes in density of serotonin transporter in the brain of 5-HT1A and 5-HT1B knockout mice, and of serotonin innervation in the 5-HT1B knockout","AR, Ase",,,2001,10.1046/j.1471-4159.2001.00437.x,
Morphine-Induced Constipation Develops With Increased Aquaporin-3 Expression in the Colon via Increased Serotonin Secretion,"R, Kon",,,2015,10.1093/toxsci/kfv055,
Dopamine D2 receptors internalize in their low-affinity state,"F, Ko",,,2002,10.1097/00001756-200206120-00007,
Blockade of NMDA receptors in the prefrontal cortex increases dopamine and acetylcholine release in the nucleus accumbens and motor activity,"Arco A, Del",,,2008,10.1007/s00213-008-1288-3,
"Trace amine-associated receptors: ligands, neural circuits, and behaviors","SD, Liberles",,,2015,10.1016/j.conb.2015.01.001,
5-Hydroxytryptamine acts at 5-HT2 receptors to decrease potassium conductance in rat nucleus accumbens neurones,"RA, North",,,1989,10.1113/jphysiol.1989.sp017786,
Control of hippocampal theta rhythm by serotonin: role of 5-HT2c receptors,"E, Sörman",,,2011,10.1016/j.neuropharm.2011.01.029,
Aging regulates 5-HT(1B) receptors and serotonin reuptake sites in the SCN,"MJ, Duncan",,,2000,10.1016/s0006-8993(99)02397-5,
Ethanol acutely reduces LH and prolactin secretion: possible involvement by dopamine,"M, Ching",,,1994,10.1016/0741-8329(94)90051-5,
Methylphenidate prevents high-fat diet (HFD)-induced learning/memory impairment in juvenile mice,"MM, Kaczmarczyk",,,2013,10.1016/j.psyneuen.2013.01.004,
"Astrocyte-mediated trophic support of developing serotonin neurons: effects of ethanol, buspirone, and S100B","JL, Eriksen",,,2001,10.1016/s0165-3806(01)00240-1,
Dopamine and sodium appetite: antagonists suppress sham drinking of NaCl solutions in the rat,"MF, Roitman",,,1997,10.1037//0735-7044.111.3.606,
Cocaine behavioral sensitization and the excitatory amino acids,"R, Karler",,,1994,10.1007/bf02245070,
Platelet-activating factor production occurs through stimulation of cholinergic and dopaminergic receptors in the chick retina,"F, Bussolino",,,1989,,
An allosteric binding site of the α7 nicotinic acetylcholine receptor revealed in a humanized acetylcholine-binding protein,"F, Delbart",,,2018,10.1074/jbc.m117.815316,
Striatal dopamine synthesis and cognitive flexibility differ between hormonal contraceptive users and nonusers,"CM, Taylor",,,2023,10.1093/cercor/bhad134,
Role of Prefrontal Serotonergic and Dopaminergic Systems in Encounter-Induced Hyperactivity in Methamphetamine-Sensitized Mice,"T, Tanaka",,,2017,10.1093/ijnp/pyw115,
5-HT1A and 5-HT2A receptor control of a panic-like defensive response in the rat dorsomedial hypothalamic nucleus,"Bortoli VC, de",,,2013,10.1177/0269881113492900,
Phenethylamine is a substrate of monoamine oxidase B in the paraventricular thalamic nucleus,"Y, Obata",,,2022,10.1038/s41598-021-03885-6,
Activation of D1/D5 receptors ameliorates decreased intrinsic excitability of hippocampal neurons induced by neonatal blockade of N-methyl-d-aspartate receptors,"E, Griego",,,2022,10.1111/bph.15735,
Dopamine depresses excitatory synaptic transmission onto rat subicular neurons via presynaptic D1-like dopamine receptors,"J, Behr",,,2000,10.1152/jn.2000.84.1.112,
Dopamine D(3) receptor and GSK3β signaling mediate deficits in novel object recognition memory within dopamine transporter knockdown mice,"PK, Chang",,,2020,10.1186/s12929-019-0613-y,
D-cycloserine decreases both D1 and D2 dopamine receptors number and their function in rat brain,"O, Gandolfi",,,1994,10.1016/0091-3057(94)90537-1,
Estrogen regulates responses of dopamine neurons in the ventral tegmental area to cocaine,"D, Zhang",,,2008,10.1007/s00213-008-1188-6,
Chronic nicotine exposure switches the functional role of mesolimbic dopamine transmission in the processing of nicotine's rewarding and aversive effects,"H, Tan",,,2009,10.1016/j.neuropharm.2008.12.008,
Effect of monofluoromethyldopa (MFMD) on trace amine levels,"LE, Dyck",,,1987,10.1016/0024-3205(87)90371-7,
Potential for targeting dopamine/DARPP-32 signaling in neuropsychiatric and neurodegenerative disorders,"A, Nishi",,,2017,10.1080/14728222.2017.1279149,
Lower anxiogenic effects of serotonin agonists are associated with lower activation of amygdala and lateral orbital cortex in adolescent male rats,"AE, Arrant",,,2013,10.1016/j.neuropharm.2013.05.030,
Supersensitivity of striatal D2 dopamine receptors mediating inhibition of adenylate cyclase and stimulation of guanosine triphosphatase following chronic administration of haloperidol in mice,"MC, Olianas",,,1987,10.1016/0304-3940(87)90386-7,
"Nociceptin/Orphanin FQ in PAG modulates the release of amino acids, serotonin and norepinephrine in the rostral ventromedial medulla and spinal cord in rats","N, Lü",,,2010,10.1016/j.pain.2009.11.025,
Dopamine-mediated modulation of odour-evoked amygdala potentials during pavlovian conditioning,"JA, Rosenkranz",,,2002,10.1038/417282a,
Transcallosal evoked potentials: behavior-dependent modulation by muscarinic and serotonergic receptors,"HC, Dringenberg",,,1994,10.1016/0361-9230(94)90140-6,
"Protective effect of adenosine reuptake inhibitors in haloperidol-induced orofacial dyskinesia and associated behavioural, biochemical and neurochemical changes","M, Bishnoi",,,2007,10.1159/000100924,
Regulator of G-protein signaling 6 (RGS6) promotes anxiety and depression by attenuating serotonin-mediated activation of the 5-HT(1A) receptor-adenylyl cyclase axis,"A, Stewart",,,2014,10.1096/fj.13-235648,
Changes caused by haloperidol are blocked by music in Wistar rat,"I, Tasset",,,2012,10.1007/s13105-011-0129-8,
"Antidepressant-like effect of scopoletin, a coumarin isolated from Polygala sabulosa (Polygalaceae) in mice: evidence for the involvement of monoaminergic systems","JC, Capra",,,2010,10.1016/j.ejphar.2010.06.043,
Dopamine depleters in the treatment of hyperkinetic movement disorders,"J, Jankovic",,,2016,10.1080/14656566.2016.1258063,
Central 5-HT(4) receptors and dopamine-dependent motor behaviors: searching for a functional role,"Deurwaerdère P, De",,,2002,10.1016/s0091-3057(01)00703-1,
Excitatory and inhibitory responses of dopamine neurons in the ventral tegmental area to nicotine,"S, Erhardt",,,2002,10.1002/syn.10044,
Deep sequencing of the murine olfactory receptor neuron transcriptome,"N, Kanageswaran",,,2015,10.1371/journal.pone.0113170,
"Serotonergic regulation of mRNA expression of Arc, an immediate early gene selectively localized at neuronal dendrites","Q, Pei",,,2000,10.1016/s0028-3908(99)00148-3,
In utero ethanol exposure decreased the density of serotonin neurons. Maternal ipsapirone treatment exerted a protective effect,"NF, Tajuddin",,,1999,10.1016/s0165-3806(99)00102-9,
Characterization of dopamine-dependent rewarding and locomotor stimulant effects of intravenously-administered methylphenidate in rats,"LH, Sellings",,,2006,10.1016/j.neuroscience.2006.04.040,
The electrophysiological actions of neurotensin in the central nervous system,"ZN, Stowe",,,1991,10.1016/0024-3205(91)90300-z,
Comparison of the effects of bupropion on nicotinic receptor-evoked [(3)H]dopamine release from rat striatal synaptosomes and slices,"N, Sidhpura",,,2007,10.1016/j.ejphar.2007.03.052,
Fluoxetine Affects Differentiation of Midbrain Dopaminergic Neurons In Vitro,"D, Lupu",,,2018,10.1124/mol.118.112342,
5-HT2A and 5-HT2C receptors as hypothalamic targets of developmental programming in male rats,"MS, Martin-Gronert",,,2016,10.1242/dmm.023903,
"The melatonergic agonist and clinically active antidepressant, agomelatine, is a neutral antagonist at 5-HT(2C) receptors","MJ, Millan",,,2011,10.1017/s1461145710001045,
Alpha-1D adrenoceptors are involved in reserpine-induced supersensitivity of rat tail artery,"N, Taki",,,2004,10.1038/sj.bjp.0705817,
Differential involvement of cortical muscarinic and NMDA receptors in short- and long-term taste aversion memory,"G, Ferreira",,,2002,10.1046/j.1460-9568.2002.02174.x,
Deprenyl (selegiline): the history of its development and pharmacological action,"J, Knoll",,,1983,10.1111/j.1600-0404.1983.tb01517.x,
Ethanol-induced dopamine elevation in the rat--modulatory effects by subchronic treatment with nicotinic drugs,"E, Löf",,,2007,10.1016/j.ejphar.2006.10.056,
Dopamine D2 receptor as a cellular component controlling nocturnal hyperactivities in Drosophila melanogaster,"G, Lee",,,2013,10.3109/07420528.2012.741169,
Dopamine D1 receptors are involved in the modulation of D2 receptors induced by cholecystokinin receptor subtypes in rat neostriatal membranes,"XM, Li",,,1994,10.1016/0006-8993(94)91794-9,
Evidence for alteration in the processing of dopamine in the anterior pituitary gland of aged rats: receptors and intracellular compartmentalization of dopamine,"J, Arita",,,1984,10.1210/endo-114-3-974,
Augmentation of Heroin Seeking Following Chronic Food Restriction in the Rat: Differential Role for Dopamine Transmission in the Nucleus Accumbens Shell and Core,"TM, D'Cunha",,,2017,10.1038/npp.2016.250,
Activation of dopaminergic neurotransmission in the medial prefrontal cortex by N-methyl-d-aspartate stimulation of the ventral hippocampus in rats,"D, Peleg-Raibstein",,,2005,10.1016/j.neuroscience.2004.12.016,
The potential role of serotonergic mechanisms in the spinal oxytocin-induced antinociception,"B, Godínez-Chaparro",,,2016,10.1016/j.npep.2016.07.002,
Hypophagia induced by hindbrain serotonin is mediated through central GLP-1 signaling and involves 5-HT2C and 5-HT3 receptor activation,"RM, Leon",,,2019,10.1038/s41386-019-0384-x,
Understanding the role α7 nicotinic receptors play in dopamine efflux in nucleus accumbens,"R, Maex",,,2014,10.1021/cn500126t,
New light on the serotonergic paradox in the rat circadian system,"M, Cuesta",,,2009,10.1111/j.1471-4159.2009.06128.x,
Sensitization of amphetamine-induced stereotyped behaviors during the acute response,"R, Kuczenski",,,1999,,
Serotonergic modulation of locust motor neurons,"D, Parker",,,1995,10.1152/jn.1995.73.3.923,
Altered response to the selective serotonin reuptake inhibitor escitalopram in mice heterozygous for the serotonin transporter: an electrophysiological and neurochemical study,"BP, Guiard",,,2012,10.1017/s1461145711000484,
Amphetamine depresses excitatory synaptic transmission at prefrontal cortical layer V synapses,"RD, Mair",,,2007,10.1016/j.neuropharm.2006.07.004,
Non-amphetaminic mechanism of stimulant locomotor effect of modafinil in mice,"P, Simon",,,1995,10.1016/0924-977x(95)00041-m,
Inhibitory effect of the antidepressant St. John's wort (hypericum perforatum) on rat bladder contractility in vitro,"R, Capasso",,,2004,10.1016/j.urology.2004.02.021,
Role of α1 adrenergic antagonism in the mechanism of action of iloperidone: reducing extrapyramidal symptoms,"SM, Stahl",,,2013,10.1017/s1092852913000850,
"Effects of acute and chronic buspirone on impulsive choice and efflux of 5-HT and dopamine in hippocampus, nucleus accumbens and prefrontal cortex","YP, Liu",,,2004,10.1007/s00213-003-1726-1,
Regional brain expression of serotonin transporter mRNA and its regulation by reuptake inhibiting antidepressants,"KP, Lesch",,,1993,10.1016/0169-328x(93)90069-2,
beta-Adrenoceptor ligand binding and supersensitivity to isoprenaline of ventricular muscle after chronic reserpine pretreatment,"MH, Hawthorn",,,1982,10.1007/bf00510135,
Brain histamine depletion enhances the behavioural sequences complexity of mice tested in the open-field: Partial reversal effect of the dopamine D2/D3 antagonist sulpiride,"A, Santangelo",,,2017,10.1016/j.neuropharm.2016.11.007,
Alpha-1 noradrenergic receptor stimulation impairs prefrontal cortical cognitive function,"AF, Arnsten",,,1999,10.1016/s0006-3223(98)00296-0,
Histaminergic receptors of medial septum and conditioned place preference: D1 dopamine receptor mechanism,"MR, Zarrindast",,,2006,10.1016/j.brainres.2006.06.024,
[Effects of methamphetamine on responsiveness to conditioned fear stress],"K, Tsuchiya",,,1999,,
Brain α7 Nicotinic Acetylcholine Receptor Assembly Requires NACHO,"S, Gu",,,2016,10.1016/j.neuron.2016.01.018,
Norepinephrine Protects against Methamphetamine Toxicity through β2-Adrenergic Receptors Promoting LC3 Compartmentalization,"G, Lazzeri",,,2021,10.3390/ijms22137232,
In vivo characterization of the pharmacokinetics and pharmacological properties of [11C]-(+)-PHNO in rats using an intracerebral beta-sensitive system,"L, Galineau",,,2006,10.1002/syn.20290,
Cellular mechanisms of infralimbic and prelimbic prefrontal cortical inhibition and dopaminergic modulation of basolateral amygdala neurons in vivo,"JA, Rosenkranz",,,2002,10.1523/jneurosci.22-01-00324.2002,
Arylalkylamines in the adrenal medulla,"SR, Philips",,,1978,10.1139/o78-167,
Facilitation of fear extinction by the 5-HT(1A) receptor agonist tandospirone: possible involvement of dopaminergic modulation,"Y, Saito",,,2013,10.1002/syn.21621,
"Effects of Modafinil on Clonic Seizure Threshold Induced by Pentylenetetrazole in Mice: Involvement of Glutamate, Nitric oxide, GABA, and Serotonin Pathways","E, Bahramnjead",,,2018,10.1007/s11064-018-2623-7,
Monoaminergic long-term facilitation of GABA-mediated inhibitory transmission at cerebellar synapses,"H, Mitoma",,,1999,10.1016/s0306-4522(98)00260-7,
The pharmacology of citalopram enantiomers: the antagonism by R-citalopram on the effect of S-citalopram,"C, Sánchez",,,2006,10.1111/j.1742-7843.2006.pto_295.x,
Opposing roles of prelimbic and infralimbic dopamine in conditioned cue and place preference,"A, Hayen",,,2014,10.1007/s00213-013-3414-0,
Droperidol suppresses spontaneous electrical activity in neurons cultured from ventral midbrain. Implications for neuroleptanesthesia,"EJ, Heyer",,,2000,10.1016/s0006-8993(00)02066-7,
In vivo evidence that 5-HT2C receptor antagonist but not agonist modulates cocaine-induced dopamine outflow in the rat nucleus accumbens and striatum,"S, Navailles",,,2004,10.1038/sj.npp.1300329,
Effect of chronic lithium and withdrawal from chronic lithium on presynaptic dopamine function in the rat,"L, Ferrie",,,2005,10.1177/0269881105051525,
Rimcazole analogs attenuate the convulsive effects of cocaine: correlation with binding to sigma receptors rather than dopamine transporters,"RR, Matsumoto",,,2001,10.1016/s0028-3908(01)00116-2,
Enhanced sympathetic neurotransduction in the superior mesenteric artery in a rat model of heart failure: role of noradrenaline and ATP,"J, Blanco-Rivero",,,2021,10.1152/ajpheart.00444.2020,
Activation of glutamatergic neurotransmission by ketamine: a novel step in the pathway from NMDA receptor blockade to dopaminergic and cognitive disruptions associated with the prefrontal cortex,"B, Moghaddam",,,1997,10.1523/jneurosci.17-08-02921.1997,
"The effects of clozapine and haloperidol on serotonin-1A, -2A and -2C receptor gene expression and serotonin metabolism in the rat forebrain","PW, Burnet",,,1996,10.1016/0306-4522(96)00062-0,
Effect of lamotrigine and carbamazepine on corticotropin-releasing factor-associated serotonergic transmission in rat dorsal raphe nucleus,"S, Tanahashi",,,2012,10.1007/s00213-011-2506-y,
Regulation of melatonin synthesis in the ovine pineal gland,"MA, Namboodiri",,,1991,10.1007/978-1-4684-5952-4_12,
Serotonergic activation potentiates light resetting of the main circadian clock and alters clock gene expression in a diurnal rodent,"M, Cuesta",,,2008,10.1016/j.expneurol.2007.11.026,
Effects of ethanol and ipsapirone on the development of midline raphe glial cells and astrocytes,"NF, Tajuddin",,,2003,10.1016/s0741-8329(03)00024-7,
Motivational learning biases are differentially modulated by genetic determinants of striatal and prefrontal dopamine function,"A, Richter",,,2021,10.1007/s00702-021-02382-4,
Enhancement of 3H-N-methylspiperone binding but not 3H-raclopride binding in mouse striatum by MK-801: evidence that factors other than competition by endogenous dopamine are responsible for changes in D2 receptor binding in vivo. Short communication,"O, Inoue",,,1999,10.1007/s007020050145,
Dysregulation of the mesolimbic dopamine system and reward in MCH-/- mice,"P, Pissios",,,2008,10.1016/j.biopsych.2007.12.011,
Serotonergic modulation of receptor occupancy in rats treated with L-DOPA after unilateral 6-OHDA lesioning,"A, Nahimi",,,2012,10.1111/j.1471-4159.2011.07598.x,
Dopamine-sensitive adenylate cyclase in homogenates of rat nucleus accumbens: structure-activity studies and effects of agonists and antagonists,"KJ, Watling",,,1979,10.1016/0014-2999(79)90431-x,
Pharmacological blockade of dopamine D2 receptors by aripiprazole is not associated with striatal sensitization,"B, Koener",,,2011,10.1007/s00210-010-0577-7,
Receptor-linked cyclic AMP systems in rat neostriatum: differential localization revealed by kainic acid injection,"KP, Minneman",,,1978,10.1016/0006-8993(78)91083-1,
Nucleus accumbens dopamine and mu-opioid receptors modulate the reinstatement of food-seeking behavior by food-associated cues,"EG, Guy",,,2011,10.1016/j.bbr.2011.01.024,
Antagonistic effect of dopamine structural analogues on human GABAρ1 receptor,"A, Alaniz-Palacios",,,2017,10.1038/s41598-017-17530-8,
Rapid dopaminergic signaling by interneurons that contain markers for catecholamines and GABA in the feeding circuitry of Aplysia,"M, Díaz-Ríos",,,2005,10.1152/jn.00003.2004,
The bacterial endotoxin lipopolysaccharide causes rapid inappropriate excitation in rat cortex,"YS, Wang",,,1999,10.1046/j.1471-4159.1999.0720652.x,
PTEN-5-HT2C coupling: a new target for treating drug addiction,"JC, Maillet",,,2008,10.1016/s0079-6123(08)00920-5,
Developmental effects of early-life stress on dopamine D2 receptor and proteins involved in noncanonical D2 dopamine receptor signaling pathway in the prefrontal cortex of male rats,"M, Mahmoodkhani",,,2021,10.1515/jcim-2020-0539,
"The role of anxiety in the development of levodopa-induced dyskinesias in an animal model of Parkinson's disease, and the effect of chronic treatment with the selective serotonin reuptake inhibitor citalopram","WL, Kuan",,,2008,10.1007/s00213-007-1030-6,
Immunocytochemical analysis of P2X2 in rat circumvallate taste buds,"R, Yang",,,2012,10.1186/1471-2202-13-51,
Nigrostriatal dopamine system dysfunction and subtle motor deficits in manganese-exposed non-human primates,"TR, Guilarte",,,2006,10.1016/j.expneurol.2006.06.015,
Opposite effects of midazolam and beta-carboline-3-carboxylate ethyl ester on the release of dopamine from rat nucleus accumbens measured by in vivo microdialysis,"T, Murai",,,1994,10.1016/0014-2999(94)90301-8,
"Morphine, cocaine and antidepressant induced motivational activity and midbrain dopaminergic neurotransmission","PN, Deslandes",,,2002,10.1016/s0014-2999(02)02451-2,
SSRI use and clinical outcomes in epithelial ovarian cancer,"DK, Christensen",,,2016,10.18632/oncotarget.8891,
